                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1962,                 1.1298,                 1.2001,                0.96442,                0.98187,                0.98726,                0.82203,                0.70057,                0.38503,                0.92084,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.1964,                 1.1412,                  1.194,                0.97335,                0.96786,                0.99144,                0.81567,                0.69627,                0.39874,                0.91544,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.2013,                 1.1607,                 1.2015,                 0.9584,                0.94114,                0.98895,                0.82545,                0.70023,                0.41461,                0.91731,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.1892,                 1.1419,                 1.1887,                  0.969,                0.95629,                0.98296,                0.81915,                0.68512,                0.39583,                 0.9162,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.2057,                 1.1562,                 1.2082,                0.98104,                0.97849,                0.99086,                0.82502,                0.68975,                0.39103,                0.92545,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.1978,                 1.1435,                 1.1977,                0.97186,                0.96539,                0.98761,                0.83028,                0.64557,                 0.4014,                0.88745,             0.00058017,             0.00058017,             0.00058017
                     62,                  1.188,                 1.1399,                 1.1976,                 0.9652,                0.96593,                0.98745,                0.81346,                0.69928,                0.41926,                0.90658,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.1844,                 1.1233,                  1.188,                0.94623,                   0.98,                0.98849,                0.83267,                0.65982,                0.37608,                0.89851,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.2031,                 1.1389,                  1.202,                0.95419,                0.96101,                0.98864,                0.83367,                0.67035,                0.40641,                0.89604,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.1856,                  1.152,                 1.2037,                0.95643,                0.98822,                0.99156,                0.81886,                0.71445,                0.37691,                0.92066,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.1613,                 1.1167,                 1.1863,                0.95426,                0.99156,                0.99105,                0.83237,                0.69812,                0.37843,                0.91076,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.1748,                 1.1061,                 1.1861,                 0.9677,                   0.99,                0.98516,                0.83972,                0.66143,                0.40236,                0.89421,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.1599,                 1.1036,                 1.1775,                0.97395,                0.95167,                0.99176,                0.83775,                0.66278,                0.36786,                0.88948,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.1603,                 1.0735,                 1.1729,                0.98158,                0.97894,                0.99311,                0.83176,                0.66877,                0.36108,                0.89533,               0.000467,               0.000467,               0.000467
                     70,                 1.1619,                 1.1085,                 1.1837,                 0.9712,                0.99757,                 0.9938,                0.82297,                0.69398,                0.36557,                 0.9093,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.1548,                 1.0876,                  1.175,                0.95856,                 0.9846,                0.99127,                0.83535,                0.68276,                0.39424,                0.91274,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.1222,                 1.0551,                 1.1518,                0.97116,                 0.9736,                0.99298,                0.84418,                0.65374,                0.35816,                 0.8974,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.1366,                 1.0682,                 1.1679,                0.97003,                0.98259,                0.99212,                0.83226,                0.68995,                0.36058,                 0.9204,             0.00041041,             0.00041041,             0.00041041
                     74,                  1.128,                 1.0636,                 1.1601,                0.97854,                0.97595,                0.99205,                0.83728,                0.67372,                0.37205,                 0.9111,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.1136,                 1.0438,                 1.1632,                0.96423,                0.99704,                0.99261,                0.83479,                0.67259,                0.35493,                0.92006,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.1346,                 1.0617,                 1.1696,                0.98104,                0.97196,                0.99187,                0.84086,                 0.6708,                 0.3703,                0.91122,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.1218,                 1.0627,                 1.1604,                0.98075,                0.98078,                 0.9882,                0.82632,                0.70179,                0.36925,                0.92437,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.1042,                 1.0239,                 1.1522,                  0.972,                      1,                0.99352,                 0.8347,                0.69534,                0.34537,                0.91837,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.1007,                 1.0225,                 1.1426,                0.96869,                0.99908,                0.99151,                0.83335,                0.65759,                0.35057,                0.90672,             0.00032553,             0.00032553,             0.00032553
                     80,                  1.107,                 1.0446,                 1.1527,                0.97112,                0.99868,                 0.9933,                0.83618,                0.65883,                 0.3458,                0.91133,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.1094,                 1.0305,                 1.1542,                0.98022,                0.99243,                0.99044,                0.84066,                0.64125,                0.34114,                0.90455,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.1022,                 1.0471,                 1.1587,                0.96753,                   0.99,                0.99275,                0.83566,                0.65259,                  0.351,                0.91296,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.1096,                 1.0243,                 1.1574,                0.96744,                   0.99,                0.99303,                0.83603,                0.66109,                0.35573,                0.91285,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0584,                 1.0011,                 1.1346,                0.97099,                      1,                0.99163,                0.84486,                0.65027,                0.34939,                0.89389,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.1004,                 1.0062,                 1.1471,                0.97106,                      1,                0.99364,                0.83348,                0.66807,                 0.3382,                0.91559,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.1015,                 1.0273,                 1.1513,                0.97952,                      1,                0.99338,                 0.8355,                0.66544,                0.33593,                0.90396,              0.0002265,              0.0002265,              0.0002265
                     87,                  1.069,                0.98439,                 1.1292,                0.97889,                0.99777,                0.99335,                0.84274,                0.64697,                0.34318,                0.88798,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.0723,                0.98621,                 1.1378,                0.98045,                0.99832,                0.99315,                0.84659,                0.64163,                0.33464,                0.88652,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.0546,                0.98788,                 1.1251,                0.97982,                0.99887,                0.99374,                0.85065,                0.65102,                0.32777,                0.89838,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.0595,                0.97028,                 1.1264,                0.98128,                0.99043,                0.99291,                 0.8428,                0.64985,                0.33551,                0.90434,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.0745,                0.99489,                 1.1324,                0.98119,                0.99867,                0.99302,                0.84168,                0.65677,                0.33057,                0.91735,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.0441,                0.96523,                 1.1181,                0.97268,                0.99924,                0.99337,                0.84218,                0.66232,                0.33624,                0.92136,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.0472,                0.95465,                 1.1248,                0.96255,                0.99907,                0.99287,                0.84581,                0.64641,                0.32874,                0.90837,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.0416,                0.94817,                 1.1165,                0.96266,                0.99699,                0.99331,                0.85112,                  0.644,                0.32998,                0.90765,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.0599,                0.95422,                 1.1292,                0.96434,                0.99019,                0.99194,                0.84773,                0.64606,                0.33956,                0.90607,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 1.0652,                0.98369,                 1.1324,                0.96252,                      1,                0.99291,                0.84402,                0.64191,                0.33341,                0.89955,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.0656,                0.97346,                 1.1344,                0.96405,                0.99764,                0.99311,                0.84336,                0.64712,                0.32607,                0.90703,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.0283,                0.95091,                 1.1168,                0.96535,                0.99937,                0.99291,                0.84571,                0.64136,                0.32391,                0.90315,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.0542,                0.97382,                 1.1292,                0.96282,                      1,                0.99291,                0.84482,                0.64154,                 0.3215,                 0.9007,             4.2584e-05,             4.2584e-05,             4.2584e-05
